	Restaurant	Food restrictions	Menu	Menu Eng
161	Winest	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Borano With Chicken : Borano on perinteinen ruokalaji Adjaran vuoristoista, joissa pitkät ja lumiset talvet ovat yleisiä. Sen historia ulottuu vuosisatojen taakse ja liittyy karjanhoidon ja maitotuotannon kehitykseen tässä Georgian alueessa. Borano is a traditional dish from the highlands of Adjara, where long and snowy winters are common. Its history dates back centuries and is linked to the development of livestock farming and dairy production in this region of Georgia.	Mains / Borano with Chicken : Borano is a traditional dish from the Adjara mountains, where long and snowy winters are common. Its history goes back centuries and is linked to the development of animal husbandry and dairy production in this region of Georgia. Borano is a traditional dish from the highlands of Adjara, where long and snowy winters are common. Its history dates back centuries and is linked to the development of livestock farming and dairy production in this region of Georgia.
162	Winest	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Chanakhi with burrata : Tuore vihannesmuhennos tomaattikastikkeella ja georgialaisilla mausteilla Fresh vegetable stew with tomato sauce and Georgian spices	Mains / Chanakhi with burrata: Fresh Vegetable Stew With tomato sauce and Georgian spices
163	Winest	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Tkbili Plovi : Georgian traditional sweet rice with fruits, dried fruits and cashew 21. Carrot Cake 22. Chocolate Cake 9€ 9€ 9€ 9	Desserts / Tkbili Plovi: Georgian traditional sweet rice with fruits, dried fruits and cashew 21. Carrot Cake 22. Chocolate Cake 9€ 9€ 9€ 9
164	Winest	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Cheese Cake : Cheese Cake Vanilla cheese cake	Desserts | Cheese Cake : Cheese Cake Vanilla cheese cake
165	Winest	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Carrot Cake : Carrot Cake	Desserts / Carrot Cake : Carrot Cake
166	Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Starters | ANTIPASTO MISTO : Italialainen juusto-, kasvis- ja lihalajitelma	Starters / ANTIPASTO MISTO: Italian cheese, vegetable and meat assortment
167	Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Starters | ZUPPA DI POMODORO : Tomaattikeittoa	Starters / ZUPPA DI POMODORO: tomato soup
168	Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Starters | INSALATA DI POLLO : Vihersalaattia, kananrintafilettä, oliivia, kurkkua, tomaattia ja rucolaa	Starters / INSALATA DI POLLO: green salad, chicken breast fillet, olive, cucumber, tomato and arugula
169	Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Mains | RAVIOLI FORMAGGIO DI CAPRA : Raviolipastaa vuohenjuustokastikkeella, rucolan sekä parmesanjuuston kera	Mains / RAVIOLI FORMAGGIO DI CAPRA: ravioli pasta with goat cheese sauce, arugula and Parmesan cheese
170	Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Mains | SALMONE POMODORO E LIMONE : Grillattua lohta sitruunaisella tomaattikastikkeella sekä salaatilla (sisältää perunat ja kasvikset)	Mains / SALMONE POMODORO E LIMONE: grilled salmon with lemon tomato sauce and salad (including potatoes and vegetables)
171	Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Mains | BISTECCA VINO ROSSO : Grillattua naudan ulkofilepihviä punaviinikastikkeella (sisältää perunat ja kasvikset)	Mains / BISTECCA VINO ROSSO: grilled beef sirloin steak with red wine sauce (includes potatoes and vegetables)
172	Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Pizza | PIZZA FUNGHI SALAME : Mozzarellaa, italialaista salamia, herkkusieniä, rucolaa sekä parmesanjuustoa	Pizza / PIZZA FUNGHI SALAME: mozzarella, Italian salami, mushrooms, arugula and Parmesan cheese
173	Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Pizza | PIZZA LA PICCOLA : Mozzarellaa, ilmakuivattua naudanlihaa, herkkusieniä, paprikaa ja basilikaa	Pizza / PIZZA LA PICCOLA: mozzarella, air-dried beef, champignons, peppers and basil
174	Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Pizza | PIZZA MELANZANE : Mozzarellaa, kirsikkatomaatteja, munakoisoa, rucolaa sekä parmesanjuustoa	Pizza MELANZANE: mozzarella, cherry tomatoes, aubergine, arugula and Parmesan cheese
175	Oishi 18 Katajanokka	['Gluten-free', 'Vegan', 'Vegetarian']	All you can eat | All You Can Eat	All you can eat | all You Can Eat
176	Noodle Story Freda	['Gluten-free', 'Vegan', 'Vegetarian']	Noodles | Nuudelikeitto HongShao naudanlihalla : Tuoreita kotitekoisia nuudeleita naudanlihaliemessä, pitkään haudutettu naudanliha ja makea soijakastikkeessa, pak choi, Shimeji-sieniä, pavunituja, kevätsipulia ja korianteria.	Noodles / Noodle Soup with hongshao beef : fresh homemade noodles in beef broth, long braised beef and sweet in soy sauce, pak choi, Shimeji mushrooms, bean sprouts, spring onions and coriander.
177	Noodle Story Freda	['Gluten-free', 'Vegan', 'Vegetarian']	Noodles | Dandan Nuudelit sianlihalla : Tuoreita kotitekoisia nuudeleita seesami ja maapahkinä chilikastikkeesa, pak choi, shimeji-sieniä, pavunituja ja kevätsipulia ja korianteria.	Noodles / Dandan noodles with pork : fresh homemade noodles with sesame and ground chilli sauce, pak choi, shimeji mushrooms, bean sprouts and spring onions and coriander.
178	Noodle Story Freda	['Gluten-free', 'Vegan', 'Vegetarian']	Noodles | Wonton nuudelikeitto : Tuoreita kotitekoisia nuudeleita, 8 kpl kotitekoinen Wonton [broiler ja sieni], pak choi, Shimeji-sieniä, pavunituja, kevätsipulia ja korianteria.	Noodles / Wonton noodle soup: fresh homemade noodles, 8 pieces homemade Wonton [chicken and mushroom], pak choi, Shimeji mushrooms, bean sprouts, spring onions and coriander.
179	Lie Mi Töölö	['Gluten-free', 'Vegan', 'Vegetarian']	Soups | Phở, a rice noodle soup served with your choice of filling (Spicy/Normal) : Combo thin sliced steak + meatball	Soups / Phở, a rice noodle soup served with your choice of filling (Spicy/Normal) : Combo thin sliced steak + meatball
180	Lie Mi Töölö	['Gluten-free', 'Vegan', 'Vegetarian']	Soups | Phở, a rice noodle soup served with your choice of filling (Spicy/Normal) : Chicken	Soups / Phở, a rice noodle soup served with your choice of filling ( Spicy/Normal): Chicken
181	Lie Mi Töölö	['Gluten-free', 'Vegan', 'Vegetarian']	Soups | Phở, a rice noodle soup served with your choice of filling (Spicy/Normal) : Tofu + mushroom	Soups / Phở, a rice noodle soup served with your choice of filling (Spicy/Normal) : Tofu + mushroom
182	Lie Mi Töölö	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Stir fried noodles : Beef / chicken / tofu / shrimp	Mains / Stir fried noodles: Beef / chicken / tofu / shrimp
183	Lie Mi Töölö	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Shanghai tacos : Crispy Pork / Shrimp / Tofu / Fish / Crispy halloumi	Mains / Shanghai tacos: Crispy Pork / Shrimp / Tofu / Fish / Crispy halloumi
184	Lie Mi Töölö	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Mochi : 3 pieces	Desserts | Mochi: 3 pieces
185	Oishi 18 Kallio	['Gluten-free', 'Vegan', 'Vegetarian']	All you can eat | All You Can Eat	All you can eat | all You Can Eat
186	OPPA Korean BBQ Kluuvi	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | KESÄKURPITSA	Starters | zucchini
187	OPPA Korean BBQ Kluuvi	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | TAKUUMUREA™ ENTRECOTE MARMORI	Starters / TAKUMUREA™ ENTRECOTE marble
188	OPPA Korean BBQ Kluuvi	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | JÄTTIKATKARAPU 6 KPL	Starters / king prawns 6 pieces
189	OPPA Korean BBQ Kluuvi	['Gluten-free', 'Vegan', 'Vegetarian']	Set Menu | SETTI A	Set Menu / Set A
190	OPPA Korean BBQ Kluuvi	['Gluten-free', 'Vegan', 'Vegetarian']	Set Menu | SETTI B	Set Menu / Set B
191	OPPA Korean BBQ Kluuvi	['Gluten-free', 'Vegan', 'Vegetarian']	Set Menu | SETTI C	Set Menu / Set C
192	OPPA Korean BBQ Kaisaniemi	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | KESÄKURPITSA	Small Plates / zucchini
193	OPPA Korean BBQ Kaisaniemi	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | TAKUUMUREA™ ENTRECOTE MARMORI	Small Plates / TAKUMUREA™ ENTRECOTE marble
194	OPPA Korean BBQ Kaisaniemi	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | JÄTTIKATKARAPU 6 KPL	Small Plates / king prawns 6 pieces
195	OPPA Korean BBQ Kaisaniemi	['Gluten-free', 'Vegan', 'Vegetarian']	Set Menu | SETTI A	Set Menu / Set A
196	OPPA Korean BBQ Kaisaniemi	['Gluten-free', 'Vegan', 'Vegetarian']	Set Menu | SETTI B	Set Menu / Set B
197	OPPA Korean BBQ Kaisaniemi	['Gluten-free', 'Vegan', 'Vegetarian']	Set Menu | SETTI C	Set Menu / Set C
198	GOODWIN The Steak House	['Gluten-free']	Starters | Carpaccio (G) valmistettu marmoroidusta sisäfileestä	Starters | Carpaccio (G) made from marbled tenderloin
199	GOODWIN The Steak House	['Gluten-free']	Starters | Suolasilliä talon marinadissa (L) : Tarjotaan ruisleivän kera	Starters | salted herring in house marinade (L): served with rye bread
200	GOODWIN The Steak House	['Gluten-free']	Starters | Broilerinsiivet porkkana- ja selleritikkuja, sinihomejuustodippi	Starters / chicken wings carrot and celery sticks, blue cheese dip
201	GOODWIN The Steak House	['Gluten-free']	Steaks | Marmoroitunut New York -pihvi 220 g (G) : Naudan ulkofileetä. Suositeltava kypsyys – Medium rare.	Steaks / marbled New York steak 220 g (G) : beef sirloin. Recommended maturity-Medium rare.
202	GOODWIN The Steak House	['Gluten-free']	Steaks | Chateaubriand-pihvi 400 g (G) : Iso pihvi naudan sisäfileen keskiosasta. Suositeltava kypsyysaste – Medium.	Steaks / Chateaubriand 400 g (G): A large steak from the middle of the beef tenderloin. Recommended degree of maturity-Medium.
203	GOODWIN The Steak House	['Gluten-free']	Steaks | Wagyu New York -pihvi 300 g (G) : AUS. Nautaa on ruokittu 300 päivää viljaruoalla ennen teurastamista. Naudan ulkofileetä. Suositeltava kypsyys – Medium	Steaks / Wagyu New York steak 300 g (G): AUS. The cattle have been fed for 300 days with grain food before slaughter. Beef sirloin. Recommended maturity-Medium
204	GOODWIN The Steak House	['Gluten-free']	Desserts | Créme brûlée (L,G) : Vaniljaa + pistaasimanteleita + kahvia	Desserts / crème brûlée (L,G) : vanilla + pistachio almonds + coffee
205	GOODWIN The Steak House	['Gluten-free']	Desserts | Lämmin suklaafondant, vaniljajäätelöä tummasta suklaasta	Desserts / warm chocolate fondant, vanilla ice cream from dark chocolate
206	GOODWIN The Steak House	['Gluten-free']	Desserts | New York -juustokakku	Desserts / New York cheesecake
207	Lie Mi Kamppi	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | GOI CUON: SUMMER ROLLS : Pork belly	Starters | GOI CUON: SUMMER ROLLS: Pork belly
208	Lie Mi Kamppi	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | VIETNAMESE SPRING ROLLS : Shrimp	Starters | VIETNAMESE SPRING ROLLS : Shrimp
209	Lie Mi Kamppi	['Gluten-free', 'Vegan', 'Vegetarian']	Salads | Fresh Vietnamese Salad : Papaya salad	Salads | Fresh Vietnamese Salad: Papaya salad
210	Lie Mi Kamppi	['Gluten-free', 'Vegan', 'Vegetarian']	Salads | VIETNAMESE NOODLE SALAD : Your choice of chicken skewers, shrimp or tofu & avocado served with rice noodles and fresh vegetables and herbs	Salads | VIETNAMESE NOODLE SALAD: Your choice of chicken skewers, shrimp or tofu & avocado served with rice noodles and fresh vegetables and herbs
211	Lie Mi Kamppi	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Stir fried noodles with : Beef / chicken / tofu / shrimp	Mains / Stir fried noodles with: Beef / chicken / tofu / shrimp
212	Lie Mi Kamppi	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Hanoi fried rice with : Beef / chicken / tofu / shrimp	Mains / Hanoi fried rice with: Beef / chicken / tofu / shrimp
213	Lie Mi Kamppi	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Curry of the day : Chicken / Tofu	Mains / Curry of the day: Chicken / Tofu
214	Lie Mi Kamppi	['Gluten-free', 'Vegan', 'Vegetarian']	Desserts | Mochi	Desserts / Mochi
215	Gastro Hub	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Nigvziani badrijani (L,G,VG) : Munakoisorullat pähkinätäytteelläEggplant rolls with walnut filling	Starters | Nigvziani badrijani (L, G, VG): eggplant rolls with walnut filling
216	Gastro Hub	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Imeruli Hatsapuri (VE) : Georgialainen litteä juustoleipäGeorgian flatbread stuffed with rich, melted cheese	Starters / Imeruli Hatsapuri ( VE): Georgian flat cheese sandwich egorgian flatbread stuffed with rich, melted cheese
217	Gastro Hub	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Khinkali (L) : Georgian nyytit, lihainen ja lieminen täyteGeorgian dumplings with meaty and brothy filling	Starters / Khinkali (L): Georgian dumplings, meaty and broth filling orgian dumplings with meaty and brothy filling
218	Gastro Hub	['Gluten-free', 'Vegan', 'Vegetarian']	Grill | Grilled Chicken (L,G) : Mausteinen ja mehukas grillikanaGrilled chicken, juicy and flawlessly seasoned	Grill / Grilled Chicken (L, G): spicy and juicy grilled chicken, juicy and flawlessly seasoned
219	Gastro Hub	['Gluten-free', 'Vegan', 'Vegetarian']	Grill | Grilled Kababi (L,G) : Maukkaat maustetut vartaat, hiillostettuna avotulellaJuicy skewers of seasoned meats, charred to perfection on open flames	Grill / Grilled Kababi (L, G): tasty spiced skewers, grilled over an open fire, uicy skewers of seasonal meats, charred to perfection on open flames
220	Gastro Hub	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Shkmeruli (L) : Mehukas valkosipulilla maustettu aromikas kanaAromatic, garlicky, succulent chicken dish	Mains / Shkmeruli (L) : juicy garlic flavoured chicken aromatic, garlicky, succulent chicken dish
221	Gastro Hub	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Ajapsandali (L,G,VG) : Georgialainen ratatouilleGeorgian ratatouille	Mains / Ajapsandali (L, G, VG): Georgian ratatouilleGeorgian ratatouille
222	Konstan Möljä	['Gluten-free']	Buffet | JOULUN JUHLAMENU : Katetaan joulukuun ajan. Ti - to klo. 17 -22, pe ja la klo. 16 - 23. Joulukuussa ei ole saatavilla muuta illallismenua.Joulun alla katetaan tavallistakin runsaampi ja juhlavampi joulumenu. Menuun kuuluvat Konstan Möljän klassikoiden lisäksi myös päivän vegaaninen pääruoka, perinteiset jouluruoat sekä juhlava jälkiruokapöytä, juustolajitelma sekä alkoholiton glögi.- Saariston alkupalapöytä - kala- ja äyriäislajitelma - poronkäristys, Marskin vorschmack & karjalanpaisti - uunilohi & päivän vaihtuva kalaruoka - erilaisia kasvis- ja kausiruokia - rosolli, joulukinkku & talon konjakkisinappi, perinteiset joululaatikot, päivän keitto & kotikalja (1% alc.) Lisäksi runsas jälkiruokapöytä, juustolajitelma ja alkoholiton glögi.Tervetuloa nauttimaan perinteisiä joulun makuja Konstan Möljään!	Buffet / Christmas menu: covered throughout December. Tue-Thu at. 17-22, Fri and sat at. 16-23.no other dinner menu is available in December.In the run-up to Christmas, a more generous and festive Christmas menu is set. In addition to Konstan Möljä's classics, the menu also includes the day's vegan main course, traditional Christmas dishes as well as a festive dessert table, cheese assortment and non-alcoholic mulled wine.- Archipelago appetizer table-fish and seafood assortment-reindeer shake, Marski's vorschmack & Karelian roast-oven salmon & day-changing fish dish-various vegetarian and seasonal dishes-rosolli, Christmas ham & House cognac mustard, traditional Christmas crates, soup & Home Beer of the day (1% alc.) In addition, a rich dessert table, cheese assortment and non-alcoholic mulled wine.Welcome to enjoy traditional Christmas flavours at Konstan Mölli!
223	Konstan Möljä	['Gluten-free']	Buffet | CHRISTMAS BUFFET : Served in December. Tue - Thu: 17 - 22, Fri - Sat: 16 - 23. Please note that in December only Christmas buffet is available.The Christmas buffet showcases traditional Finnish Christmas dishes and other Finnish delicacies. The menu includes a plentiful salad & appetizer buffet, vegan appetizers, seafood selection, warm main courses like sautéed reindeer, Karelian stew and oven baked salmon, traditional Finnish Christmas dishes, soup of the day and a plentiful dessert buffet with festive cheese selection, seasonal desserts & non-alcoholic mulled wine.We welcome you to experience traditional Finnish Christmas in Konstan Möljä!	Buffet / CHRISTMAS BUFFET: Served in December. Tue-Thu: 17-22, Fri - Sat: 16 - 23. Please note that in December only Christmas buffet is available.The Christmas buffet showcases traditional Finnish Christmas dishes and other Finnish delicacies. The menu includes a plentiful salad & appetizer buffet, vegan appetizers, seafood selection, warm main courses like sautéed reindeer, Karelian stew and oven baked salmon, traditional Finnish Christmas dishes, soup of the day and a plentiful dessert buffet with festive cheese selection, seasonal desserts & non-alcoholic mulled wine.We welcome you to experience traditional Finnish Christmas in Konstan Möljä!
224	Konstan Möljä	['Gluten-free']	Buffet | LOUNASBUFFET / LUNCH BUFFET : Herkkuja notkuva lounaspöytä katetaan tiistaista perjantaihin klo. 11 - 14:30.Uudistuneelta perinneruokalounaalta löydät entistä monipuolisemmin kauden makuja, runsaan saaristolaishenkisen salaatti- ja alkupalapöydän sekä suomalaisia perinneruokaklassikoita.Lounaaseen kuuluu runsas salaatti- ja alkupalapöytä, kalalajitelma sekä karjalanpiirakat ja munavoi. Pääruokina kaksi lämmintä pääruokaa lisukkeineen sekä maukas päivän keitto! Juomana kotikalja ja vesi. Jälkiruoaksi kahvi / tee sekä pikkumakeaa.Konstan Möljä’s lunch buffet is served from Tuesday to Friday 11am to 2:30pm.We offer a plentiful salad & appetizer buffet with Karelian pasties, two warm main courses with sides and a soup of the day. Coffee & tea + home made ale are included. The lunch menu changes daily and introduces traditional Finnish home cooking.	Buffet / lunch buffet / LUNCH BUFFET : the delicious lunch table is set from Tuesday to Friday at. 11 - 14:30.the renewed traditional food lunch will offer a wider variety of seasonal flavours, a rich archipelago - inspired salad and appetizer table and Finnish traditional food classics.Lunch includes a hearty salad and appetizer table, a selection of fish as well as Karelian pies and egg butter. Two warm entrees with side dishes and a tasty soup of the day! Drink beer and water. For dessert, coffee / tea and a little sweet.Konstan Möljä's lunch buffet is served from Tuesday to Friday 11am to 2:30pm.We offer a plentiful salad & appetizer buffet with Karelian pasties, two warm main courses with sides and a soup of the day. Coffee & tea + home made ale are included. The lunch menu changes daily and introduces traditional Finnish home cooking.
225	Konstan Möljä	['Gluten-free']	Buffet | Saaristolaispöytä : Illallisbuffet ti-to klo. 17 - 22 sekä pe ja la klo. 16 - 23HUOM: Joulukuun ajan tarjolla joulun juhlamenu 46€.Illallisaikaan katetaan Konstan Möljän kuuluisa pitopöytä. Runsaasta noutopöydästämme löydät perinteisiä liha-, kala- ja kasvisherkkuja eri puolilta Suomea.Illallisbuffettiin kuuluu runsas alkupalapöytä, kala- ja äyriäislajitelma, vegaaniset alkupalat sekä perinteiset klassikkopääruoat ja erilaisia kasvis- ja kausiruokia.Illallisbuffet: - Saariston alkupalapöytä - Kala- ja äyriäislajitelma - Poronkäristys, Marskin vorschmack & Karjalanpaisti - Uunilohi & päivän vaihtuva kalaruoka - Erilaisia kasvis- ja kausiruokia - Päivän keitto & kotikalja (1% alc.)	Buffet / archipelago Table:Dinner Buffet Tue-Thu at. 17-22 and FRI and sat at. 16-23HUOM: Christmas menu for December 46€.At dinner, Konstan Möljä's famous banquet table is set. In our rich buffet you will find traditional meat, fish and vegetable delicacies from all over Finland.The dinner buffet includes a hearty appetizer table, fish and seafood assortment, vegan appetizers, traditional classic head dishes and various vegetarian and seasonal dishes.Dinner buffet: - archipelago appetizer table-fish and seafood assortment-reindeer shake, Marski vorschmack & Karelian roast-oven Salmon & Day-changing fish dish-various vegetarian and seasonal dishes-day soup & Home Beer (1% alc.)
226	Konstan Möljä	['Gluten-free']	Buffet | Finnish Dinner Buffet : Tue - Thu at 17 - 22 & Fri - Sat at 16 - 23HOX: In December a special Christmas menu is served for 46€Konstan Möljä's famous Finnish dinner buffet with plentiful appetizers, fish & seafood selection, traditional main courses & soup of the day. The menu introduces Finnish delicacies from all over the country.Menu highlights include sautéed reindeer, Karelian stew, oven baked salmon and Finnish bread selection with Karelian pasties and egg & butter mix.All you can eat buffet: - Seafood & appetizers - Finnish bread selection & Karelian pasties - Sauteed reindeer - Vorschmack & Karelian stew - Oven baked salmon & vegetarian dishes - Soup of the day & Home made ale (1% alc.)	Buffet / Finnish Dinner Buffet: Tue - Thu at 17 - 22 & Fri - Sat at 16 - 23hox: in December a special Christmas menu is served for 46€Konstan Möljä's famous Finnish dinner buffet with abundant appetizers, fish & seafood selection, traditional main courses & soup of the day. The menu introduces Finnish delicacies from all over the country.Menu highlights include sautéed reindeer, Karelian stew, oven baked salmon and Finnish bread selection with Karelian pasties and egg & butter mix.All you can eat buffet: - Seafood & appetizers - Finnish bread selection & Karelian pasties - Sauteed reindeer - Vorschmack & Karelian stew - Oven baked salmon & vegetarian dishes - Soup of the day & Home made ale (1% alc.)
227	Ravintola Segreto	['Vegan', 'Vegetarian']	Antipasti | Salumi : Lajitelma leikkeleitä, juustoja, kasviksia, tahnoja & leipää / 2 hlö	Antipasti / Salumi: assortment of cold cuts, cheeses, vegetables, pastes & bread / 2 persons
228	Ravintola Segreto	['Vegan', 'Vegetarian']	Antipasti | Mozzarella : Segreton tuoretta mozzarellaa kotimaisesta maidosta, oliiviöljyä & sormisuolaa (G)	Antipasti / Mozzarella: Segreton fresh mozzarella from domestic milk, olive oil & finger salt (G)
229	Ravintola Segreto	['Vegan', 'Vegetarian']	Antipasti | Autunno : Paahdettua punajuurta, vuohenjuustoa, karhunvadelmaa & pistaasia (G)	Antipasti / Autunno: roasted beetroot, goat's cheese, BlackBerry & pistachio (G)
230	Ravintola Segreto	['Vegan', 'Vegetarian']	Primi Piatti | Porcini : Espressolla maustettu tattirisotto & pikkelöityjä tatteja (L,G)	Primi Piatti / Porcini: espresso spiced Tatti risotto & pickled tatties (L, G)
231	Ravintola Segreto	['Vegan', 'Vegetarian']	Primi Piatti | Vege porcini : Espressolla maustettu tattirisotto & pikkelöityjä tatteja (VE,G)	Primi Piatti / Vege porcini: espresso spiced Tatti risotto & pickled tatties (VE, G)
232	Ravintola Segreto	['Vegan', 'Vegetarian']	Secondi Piatti | Pesce : Paahdettu siikafilee, kurpitsaa, salviaa & proseccokastiketta (L,G)	Secondi Piatti / Pesce: roasted Whitefish fillet with pumpkin, sage & Prosecco sauce (L, G)
233	Ravintola Segreto	['Vegan', 'Vegetarian']	Secondi Piatti | Bistecca : Grillattu 28 päivää dry-aged kotimainen naudan entrecôte-pihvi, valkosipulia ja marsalaa (L,G)	Secondi Piatti / Bistecca: grilled for 28 days dry-aged domestic beef entrecôte steak with garlic and marsala (L, G)
234	Ravintola Segreto	['Vegan', 'Vegetarian']	Pizza | Margharita : Segreton mozzarellaa, tomaattikastiketta, pikkelöityä tomaattia & basilikaa	Pizza | Margharita: Segreton mozzarella, tomato sauce, pickled tomato & basil
235	Ravintola Segreto	['Vegan', 'Vegetarian']	Pizza | Prosciutto : Ilmakuivattua kinkkua, mozzarellaa, tomaattikastiketta, karhunvadelmaa & rucolaa	Pizza / Prosciutto: air-dried ham, mozzarella, tomato sauce, BlackBerry & arugula
236	Ravintola Segreto	['Vegan', 'Vegetarian']	Desserts | Tiramisu : Klassikko Segreton tapaan	Desserts / Tiramisu: a classic like Segreto
237	Ravintola Segreto	['Vegan', 'Vegetarian']	Desserts | Mela : Karamellisoitua omenaa, brandya & kanelijäätelöä (L,G)	Desserts | paddle: caramelized apple, brandy & cinnamon ice cream (L, G)
238	Ravintola Segreto	['Vegan', 'Vegetarian']	Desserts | Amaretto : Mantelirisottoa, amarettojäätelöä & paahdettua mantelia (L,G)	Desserts | Amaretto: almond risotto, amaretto ice cream & toasted almonds (L, G)
239	Alfons Pizza	['Vegan', 'Vegetarian']	Salads | ESTIVA : Vihreä salaatti, katkarapu, punasipuli, puolikuivattu keltainen kirsikkatomaatti,  Kalamata oliivi & sitruunaöljy.Green mix, shrimps, red onion, semi-dried yellow cherry tomatoes, Kalamata olives & lemon oil.	Salads / ESTIVA : green salad, shrimp, red onion, semi-dried yellow cherry tomato, Kalamata olive & lemon oil.Green mix, shrimps, red onion, semi-dried yellow cherry tomatoes, Kalamata olives & lemon oil.
240	Alfons Pizza	['Vegan', 'Vegetarian']	Salads | VEGANA : Grillattu paprika, grillattu artisokka, Kalamata-oliivi, vihreä salaatti & punasipuli.Grilled bell peppers, grilled artichokes, Kalamata olives, green mix & red onion.	Salads / VEGANA : grilled peppers, grilled artichokes, Kalamata olive, green salad & red onion.Grilled bell peppers, grilled artichokes, Kalamata olives, green mix & red onion.
241	Alfons Pizza	['Vegan', 'Vegetarian']	Salads | APULIA : Burratajuusto, puolikuivattu kirsikkatomaatti, Kalamata-oliivi, punasipuli, vihreä salaatti & oliiviöljy.Burrata, semidried cherry tomatoes, Kalamata olives, red onions, green mix & olive oil.	Salads / APULIA : burrata cheese, semi-dried cherry tomato, Kalamata olive, red onion, green salad & olive oil.Burrata, semidried cherry tomatoes, Kalamata olives, red onions, green mix & olive oil.
242	Alfons Pizza	['Vegan', 'Vegetarian']	Pizza | ERCOLINA : Tulinen Napoli salami, mozzarella, gorgonzola piccante, punasipuli & oliivimuru.Spicy Napoli salami, mozzarella, gorgonzola piccante, red onion & olive crumbles.	Pizza / ERCOLINA: spicy Naples salami, mozzarella, gorgonzola piccante, red onion & olive crumb.Spicy Napoli salami, mozzarella, gorgonzola piccante, red onion & olive crumbles.
243	Alfons Pizza	['Vegan', 'Vegetarian']	Pizza | TARTUFINA : Tryffelillä maustettu italialainen kinkku, pecorino, mozzarella, portobellosieni, herkkutatti & tryffelipesto.Italian ham with truffle, pecorino, mozzarella, portobello mushrooms, porcini mushrooms & truffle pesto.	Pizza / TARTUFINA: truffle-flavored Italian ham, pecorino, mozzarella, portobello mushroom, cepet & truffle pesto.Italian ham with truffle, pecorino, mozzarella, portobello mushrooms, porcini mushrooms & truffle pesto.
244	Alfons Pizza	['Vegan', 'Vegetarian']	Pizza | SICILIA : Paahdettu munakoiso, puolikuivattu kirsikkatomaatti, mozzarella, vuohenjuusto & talon basilikapesto.Roasted eggplant, semidried cherry tomatoes, mozzarella, goat cheese & house basil pesto.	Pizza / SICILIA: roasted eggplant, semi-dried cherry tomato, mozzarella, goat cheese & house basil pesto.Roasted eggplant, semidried cherry tomatoes, mozzarella, goat cheese & house basil pesto.
245	Alfons Pizza	['Vegan', 'Vegetarian']	Desserts | TIRAMISU : 100% itsetehty ja luomu.100% handmade and organic.	Desserts / TIRAMISU: 100% homemade and organic.100% handmade and organic.
246	Alfons Pizza	['Vegan', 'Vegetarian']	Desserts | ICE CREAM CAKE : Jäätelökakku coulis kastikkeella. Maut vaihtelevat.Ice cream cake with coulis sauce. Varying flavours.	Desserts / ICE CREAM CAKE: ice cream cake with coulis sauce. Tastes vary.Ice cream cake with coulis sauce. Varying flavours.
247	Alfons Pizza	['Vegan', 'Vegetarian']	Desserts | IRISH COFFEE : Kahvi, viski, kerma.Coffee, whiskey, cream.	Desserts / IRISH COFFEE: coffee, whisky, cream.Coffee, whiskey, cream.
248	Itsudemo Helsinki	['Gluten-free', 'Vegan', 'Vegetarian']	Lunch | Buffet lounasaikaan : Ma-pe 11.00-16:30	Lunch / Buffet at lunchtime: Mon-Fri 11.00-16:30
